year,month,state,revenue,handle,hold,taxes,population,poverty,unemployed,med_income,online,in_person,handle_capita,tax_rate,unemployment_rate,poverty_rate,tax_group
2022,1.0,Rhode Island,5.228277,58.614487,0.09,2.666421,1.088362830011563,0.1223687483550536,0.063545068668115,44528.18779497589,1.0,1.0,53.85564940634481,50.99999483577477,5.838592325634639,11.243378125450462,High
2022,2.0,Rhode Island,3.566393,42.143261,0.08,1.81886,1.088362830011563,0.1223687483550536,0.063545068668115,44528.18779497589,1.0,1.0,38.72170184234633,50.99998794300011,5.838592325634639,11.243378125450462,High
2022,3.0,Rhode Island,3.738223,45.766958,0.08,1.906494,1.088362830011563,0.1223687483550536,0.063545068668115,44528.18779497589,1.0,1.0,42.05119537159658,51.000007222683074,5.838592325634639,11.243378125450462,High
2022,4.0,Rhode Island,2.632134,40.186632,0.07,1.342388,1.088362830011563,0.1223687483550536,0.063545068668115,44528.18779497589,1.0,1.0,36.92392912717632,50.99998708272451,5.838592325634639,11.243378125450462,High
2022,5.0,Rhode Island,2.336733,41.103489,0.06,1.191734,1.088362830011563,0.1223687483550536,0.063545068668115,44528.18779497589,1.0,1.0,37.7663476430588,51.00000727511444,5.838592325634639,11.243378125450462,High
2022,6.0,Rhode Island,2.352896,34.229823,0.07,1.199977,1.088362830011563,0.1223687483550536,0.063545068668115,44528.18779497589,1.0,1.0,31.450746071175857,51.00000170003265,5.838592325634639,11.243378125450462,High
2022,7.0,Rhode Island,2.872076,25.208531,0.11,1.464759,1.088362830011563,0.1223687483550536,0.063545068668115,44528.18779497589,1.0,1.0,23.16188159396456,51.000008356324834,5.838592325634639,11.243378125450462,High
2022,8.0,Rhode Island,3.000241,27.744694,0.11,1.530215,1.088362830011563,0.1223687483550536,0.063545068668115,44528.18779497589,1.0,1.0,25.49213666154441,51.00306942008992,5.838592325634639,11.243378125450462,High
2022,9.0,Rhode Island,6.361823,41.670257,0.15,3.24453,1.088362830011563,0.1223687483550536,0.063545068668115,44528.18779497589,1.0,1.0,38.28710045119538,51.00000424406653,5.838592325634639,11.243378125450462,High
2018,0.0,South Carolina,0.0,0.0,0.0,0.0,4.944754,0.755215,0.126468,32373.0,0.0,0.0,0.0,0.0,2.5576196510483635,15.273055039745154,Low
2019,0.0,South Carolina,0.0,0.0,0.0,0.0,4.877884,0.74165,0.13693,32373.0,0.0,0.0,0.0,0.0,2.8071598258589177,15.204338602557996,Low
2020,0.0,South Carolina,0.0,0.0,0.0,0.0,4.950181,0.72647,0.132754,31942.0,0.0,0.0,0.0,0.0,2.6818009280872763,14.67562499229826,Low
2021,0.0,South Carolina,0.0,0.0,0.0,0.0,5.063148,0.741652,0.137567,35987.0,0.0,0.0,0.0,0.0,2.7170250602984543,14.6480411001219,Low
2018,0.0,South Dakota,0.0,0.0,0.0,0.0,0.852419,0.111626,0.013283,32908.0,0.0,1.0,0.0,0.0,1.558271225770425,13.095203180595458,Low
2019,0.0,South Dakota,0.0,0.0,0.0,0.0,0.841207,0.110553,0.015179,32908.0,0.0,1.0,0.0,0.0,1.804431014007254,13.142187356976343,Low
2020,0.0,South Dakota,0.0,0.0,0.0,0.0,0.84991,0.108863,0.015719,33511.0,0.0,1.0,0.0,0.0,1.8494899459942815,12.808767987198644,Low
2021,9.0,South Dakota,0.07132,0.443365,0.16,0.006419,0.867039,0.106548,0.012341,37149.0,0.0,1.0,0.511355313890148,9.000280426247897,1.4233500453843484,12.28872057658306,Medium
2021,10.0,South Dakota,0.098037,0.815037,0.12,0.008823,0.867039,0.106548,0.012341,37149.0,0.0,1.0,0.9400234591523564,8.999663392392668,1.4233500453843484,12.28872057658306,Medium
2021,11.0,South Dakota,0.074919,0.717775,0.1,0.006743,0.867039,0.106548,0.012341,37149.0,0.0,1.0,0.8278462675842725,9.000387084718163,1.4233500453843484,12.28872057658306,Medium
2021,12.0,South Dakota,0.010306,0.675312,0.02,0.000928,0.867039,0.106548,0.012341,37149.0,0.0,1.0,0.7788715386505105,9.004463419367358,1.4233500453843484,12.28872057658306,Medium
2022,1.0,South Dakota,0.082291,0.835252,0.1,0.007406,0.8845132161299433,0.1042822290769131,0.0096889293848209,41181.9462564531,0.0,1.0,0.9443069755978566,8.999769112053565,1.0953967909279407,11.78978755492028,Medium
2022,2.0,South Dakota,0.071807,0.685631,0.1,0.006463,0.8845132161299433,0.1042822290769131,0.0096889293848209,41181.9462564531,0.0,1.0,0.7751506563122674,9.000515270099015,1.0953967909279407,11.78978755492028,Medium
2022,3.0,South Dakota,0.032389,0.975347,0.03,0.002915,0.8845132161299433,0.1042822290769131,0.0096889293848209,41181.9462564531,0.0,1.0,1.1026935292922886,8.999969125320323,1.0953967909279407,11.78978755492028,Medium
2022,4.0,South Dakota,-0.013735,0.368517,-0.04,-0.001236,0.8845132161299433,0.1042822290769131,0.0096889293848209,41181.9462564531,0.0,1.0,0.4166325536800813,8.998907899526754,1.0953967909279407,11.78978755492028,Medium
2022,5.0,South Dakota,0.025102,0.307995,0.08,0.002259,0.8845132161299433,0.1042822290769131,0.0096889293848209,41181.9462564531,0.0,1.0,0.348208477141344,8.999282925663294,1.0953967909279407,11.78978755492028,Medium
2022,6.0,South Dakota,0.027869,0.301217,0.09,0.002508,0.8845132161299433,0.1042822290769131,0.0096889293848209,41181.9462564531,0.0,1.0,0.3405455051513311,8.999246474577486,1.0953967909279407,11.78978755492028,Medium
2022,7.0,South Dakota,0.016143,0.25918,0.06,0.001453,0.8845132161299433,0.1042822290769131,0.0096889293848209,41181.9462564531,0.0,1.0,0.2930199292374666,9.000805302607942,1.0953967909279407,11.78978755492028,Medium
2022,8.0,South Dakota,0.059053,0.266673,0.22,0.005315,0.8845132161299433,0.1042822290769131,0.0096889293848209,41181.9462564531,0.0,1.0,0.3014912554577627,9.00038948063604,1.0953967909279407,11.78978755492028,Medium
